generation,best,mean,mutation_std,annealed
0,0.991268,0.506103,0.030000,false
1,0.994947,0.786647,0.030046,false
2,0.993896,0.899578,0.029890,false
3,0.991623,0.953042,0.029747,false
4,0.993270,0.980579,0.029606,false
5,0.994777,0.990442,0.029699,false
6,0.994286,0.991623,0.029811,false
7,0.996822,0.994108,0.030033,false
8,0.996362,0.994246,0.030486,false
9,0.997425,0.995852,0.030941,false
10,0.997446,0.995633,0.030701,false
11,0.997689,0.996538,0.030612,false
12,0.998275,0.996972,0.030416,false
13,0.998653,0.997733,0.030505,false
14,0.998017,0.997041,0.030842,false
15,0.998787,0.998322,0.030834,false
16,0.998581,0.998101,0.030949,false
17,0.998924,0.998224,0.030783,false
18,0.999047,0.998617,0.030937,false
19,0.999496,0.998951,0.031226,false
20,0.999476,0.998957,0.031694,false
21,0.999374,0.998806,0.031941,false
22,0.999515,0.999192,0.032355,false
23,0.999655,0.999502,0.032523,false
24,0.999688,0.999420,0.032513,false
25,0.999794,0.999568,0.031482,false
26,0.999730,0.999475,0.031024,false
27,0.999846,0.999722,0.030868,false
28,0.999871,0.999705,0.030882,false
29,0.999836,0.999683,0.030697,false
30,0.999905,0.999826,0.030955,false
31,0.999915,0.999805,0.031023,false
32,0.999924,0.999852,0.031350,false
33,0.999890,0.999808,0.031543,false
34,0.999952,0.999914,0.031874,false
35,0.999940,0.999900,0.032395,false
36,0.999964,0.999940,0.032588,false
37,0.999967,0.999942,0.032544,false
38,0.999971,0.999946,0.032774,false
39,0.999975,0.999958,0.032733,false
