generation,best,mean,mutation_std,annealed
0,0.651825,0.504556,0.030000,false
1,0.655436,0.541538,0.030006,false
2,0.653901,0.569726,0.029948,false
3,0.670613,0.592172,0.029892,false
4,0.672295,0.610203,0.029890,false
5,0.683820,0.623889,0.029878,false
6,0.682984,0.637943,0.029826,false
7,0.680522,0.646181,0.029816,false
8,0.689673,0.652695,0.029881,false
9,0.682980,0.656528,0.029790,false
10,0.680352,0.658753,0.029879,false
11,0.694021,0.668185,0.029942,false
12,0.704086,0.676702,0.029870,false
13,0.706317,0.683538,0.029874,false
14,0.702141,0.679067,0.029696,false
15,0.719963,0.693422,0.029559,false
16,0.711426,0.693201,0.029546,false
17,0.697975,0.685625,0.029360,false
18,0.727619,0.706789,0.029317,false
19,0.734167,0.712689,0.029416,false
20,0.719027,0.702985,0.029472,false
21,0.726906,0.711502,0.029411,false
22,0.712696,0.700237,0.029430,false
23,0.723491,0.710777,0.029200,false
24,0.719319,0.707238,0.029129,false
25,0.719666,0.708942,0.029143,false
26,0.753045,0.733082,0.028923,false
27,0.735505,0.723553,0.028708,false
28,0.745480,0.729275,0.028301,false
29,0.743161,0.729003,0.028073,false
30,0.758067,0.744497,0.028144,false
31,0.731727,0.721720,0.028322,false
32,0.743443,0.733073,0.028429,false
33,0.773779,0.752784,0.028850,false
34,0.774174,0.757309,0.029079,false
35,0.766367,0.751498,0.029354,false
36,0.793138,0.778037,0.029436,false
37,0.737692,0.729872,0.029722,false
38,0.774336,0.762143,0.030057,false
39,0.743351,0.737163,0.030619,false
40,0.767125,0.749088,0.030590,false
41,0.749519,0.741197,0.030491,false
42,0.748152,0.740555,0.030501,false
43,0.813765,0.795676,0.030591,false
44,0.750977,0.745755,0.030733,false
45,0.752026,0.745164,0.030822,false
46,0.757026,0.749185,0.030979,false
47,0.771364,0.760884,0.031244,false
48,0.802822,0.791453,0.031377,false
49,0.784551,0.769667,0.031125,false
50,0.801560,0.788292,0.030973,false
51,0.795757,0.777062,0.030849,false
52,0.799453,0.790748,0.030745,false
53,0.795083,0.782494,0.030541,false
54,0.796709,0.785757,0.030440,false
55,0.797794,0.786623,0.030415,false
56,0.827517,0.817082,0.030345,false
57,0.777937,0.771944,0.029890,false
58,0.749552,0.746340,0.029770,false
59,0.803365,0.794971,0.029363,false
60,0.763971,0.749840,0.029225,false
61,0.829007,0.819015,0.029055,false
62,0.827646,0.815825,0.028811,false
63,0.790978,0.772837,0.028994,false
64,0.780094,0.775418,0.029035,false
65,0.864105,0.853201,0.029090,false
66,0.750088,0.747284,0.029286,false
67,0.824366,0.815748,0.029447,false
68,0.775778,0.761829,0.029437,false
69,0.847173,0.835998,0.029492,false
70,0.773645,0.761070,0.029329,false
71,0.846044,0.835660,0.029411,false
72,0.782034,0.774232,0.029251,false
73,0.864197,0.852355,0.029025,false
74,0.804025,0.799859,0.028630,false
75,0.832295,0.825995,0.028674,false
76,0.798274,0.778189,0.029220,false
77,0.838862,0.831526,0.028865,false
78,0.749811,0.748137,0.029176,false
79,0.764747,0.757569,0.029197,false
80,0.804467,0.780438,0.029032,false
81,0.789330,0.778134,0.029111,false
82,0.805753,0.786508,0.029226,false
83,0.786408,0.768869,0.029319,false
84,0.845239,0.833590,0.029758,false
85,0.784322,0.774030,0.029460,false
86,0.784292,0.769222,0.029513,false
87,0.790875,0.779296,0.029293,false
88,0.832856,0.817197,0.028833,false
89,0.814411,0.801734,0.028954,false
90,0.773042,0.767790,0.028862,false
91,0.834010,0.824835,0.028746,false
92,0.786666,0.780147,0.028275,false
93,0.800737,0.793498,0.028606,false
94,0.850698,0.830047,0.028979,false
95,0.774719,0.771441,0.029059,false
96,0.764735,0.756043,0.028387,false
97,0.831827,0.826214,0.028187,false
98,0.864009,0.858004,0.028670,false
99,0.884504,0.874708,0.028865,false
