generation,best,mean,median,elapsed_s,time_budget_s,device,population_size,hidden_size
0,247.3333,19.8542,9.6667,1.933,8.0,cuda,64,32
1,288.3333,64.4062,40.8333,2.543,8.0,cuda,64,32
2,500.0,195.0417,164.8333,2.983,8.0,cuda,64,32
3,500.0,275.3333,277.3333,3.425,8.0,cuda,64,32
4,500.0,340.8438,387.0,3.85,8.0,cuda,64,32
5,500.0,361.2188,423.1667,4.28,8.0,cuda,64,32
6,500.0,316.0521,344.5,4.714,8.0,cuda,64,32
7,500.0,367.5833,419.1667,5.139,8.0,cuda,64,32
8,500.0,392.3073,492.5,5.567,8.0,cuda,64,32
9,500.0,387.7865,495.0,5.989,8.0,cuda,64,32
10,500.0,370.0938,445.3333,6.414,8.0,cuda,64,32
11,500.0,395.0677,496.8333,6.833,8.0,cuda,64,32
12,500.0,397.3906,500.0,7.262,8.0,cuda,64,32
13,500.0,410.7917,500.0,7.688,8.0,cuda,64,32
14,380.0,302.1927,369.0,8.014,8.0,cuda,64,32
