generation,best,mean,median,elapsed_s,time_budget_s,device,population_size,hidden_size
0,247.3333,19.8542,9.6667,2.03,8.0,cuda,64,32
1,254.0,88.0781,64.6667,2.785,8.0,cuda,64,32
2,500.0,195.4635,184.6667,3.341,8.0,cuda,64,32
3,500.0,289.2708,259.5,3.886,8.0,cuda,64,32
4,500.0,419.0261,487.6667,4.446,8.0,cuda,64,32
5,500.0,433.5886,481.8333,4.998,8.0,cuda,64,32
6,500.0,415.4427,464.3333,5.546,8.0,cuda,64,32
7,500.0,437.125,496.1667,6.063,8.0,cuda,64,32
8,500.0,446.2396,499.5,6.588,8.0,cuda,64,32
9,500.0,435.9636,500.0,7.116,8.0,cuda,64,32
10,500.0,403.5677,470.6667,7.651,8.0,cuda,64,32
11,346.0,303.7084,345.8333,8.016,8.0,cuda,64,32
