generation,best,mean,median,elapsed_s,time_budget_s,device,population_size,hidden_size
0,247.3333,19.8542,9.6667,2.14,8.0,cuda,64,32
1,262.3333,71.1719,41.8333,2.931,8.0,cuda,64,32
2,500.0,172.7292,160.0,3.491,8.0,cuda,64,32
3,500.0,241.8333,239.0,4.086,8.0,cuda,64,32
4,500.0,378.224,414.3333,4.654,8.0,cuda,64,32
5,500.0,436.9167,500.0,5.201,8.0,cuda,64,32
6,500.0,438.2865,500.0,5.739,8.0,cuda,64,32
7,500.0,441.5365,500.0,6.284,8.0,cuda,64,32
8,500.0,462.276,500.0,6.817,8.0,cuda,64,32
9,500.0,473.4792,500.0,7.354,8.0,cuda,64,32
10,500.0,457.4479,500.0,7.894,8.0,cuda,64,32
11,103.3333,102.7448,103.3333,8.004,8.0,cuda,64,32
