generation,best,mean,median,elapsed_s,time_budget_s,device,population_size,hidden_size
0,247.3333,19.7005,9.6667,1.979,8.0,cuda,128,32
1,325.0,67.8073,43.3333,2.615,8.0,cuda,128,32
2,428.3333,179.7396,180.0,3.113,8.0,cuda,128,32
3,500.0,219.1693,213.0,3.677,8.0,cuda,128,32
4,500.0,296.5886,345.0,4.258,8.0,cuda,128,32
5,500.0,331.7969,379.3333,4.876,8.0,cuda,128,32
6,500.0,338.2839,437.6667,5.444,8.0,cuda,128,32
7,500.0,362.7656,481.1667,5.997,8.0,cuda,128,32
8,500.0,359.4583,397.3333,6.561,8.0,cuda,128,32
9,500.0,363.862,500.0,7.096,8.0,cuda,128,32
10,500.0,339.8281,455.6667,7.634,8.0,cuda,128,32
11,357.3333,251.9739,319.5,8.015,8.0,cuda,128,32
