generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
0,0.640364,0.492088,0.737315,0.732648,0.313
1,0.641415,0.586679,0.750803,0.732648,0.374
2,0.673984,0.626249,0.774566,0.732648,0.379
3,0.697018,0.656023,0.843288,0.77635,0.383
4,0.711093,0.677203,0.820167,0.773779,0.388
5,0.726921,0.700609,0.838793,0.755784,0.39
6,0.738371,0.716487,0.830443,0.771208,0.392
7,0.747309,0.729502,0.825305,0.773779,0.394
8,0.757559,0.737732,0.844573,0.77892,0.396
9,0.76364,0.748798,0.842004,0.745501,0.401
10,0.774772,0.757895,0.831085,0.773779,0.403
11,0.776702,0.767251,0.845215,0.768638,0.405
12,0.781335,0.772233,0.836866,0.77892,0.407
13,0.787677,0.776652,0.845857,0.77635,0.411
14,0.79074,0.782381,0.843288,0.77635,0.414
15,0.794333,0.787404,0.845215,0.77892,0.416
16,0.797981,0.789558,0.844573,0.768638,0.42
17,0.80286,0.793028,0.8465,0.781491,0.422
18,0.806052,0.796118,0.845857,0.781491,0.426
19,0.807545,0.799575,0.845857,0.781491,0.43
20,0.811905,0.804064,0.845857,0.784062,0.434
21,0.814058,0.806503,0.845857,0.784062,0.439
22,0.815327,0.809802,0.844573,0.781491,0.443
23,0.81683,0.811652,0.8465,0.784062,0.445
24,0.818084,0.813336,0.8465,0.784062,0.449
25,0.819137,0.814148,0.845857,0.781491,0.456
26,0.820185,0.815471,0.845215,0.784062,0.459
27,0.821849,0.816794,0.845215,0.781491,0.463
28,0.822514,0.818517,0.8465,0.784062,0.466
29,0.822946,0.819196,0.844573,0.784062,0.471
30,0.823792,0.820221,0.845857,0.781491,0.476
31,0.825864,0.822033,0.845857,0.784062,0.478
32,0.826169,0.822875,0.844573,0.77892,0.482
33,0.828027,0.823766,0.845215,0.784062,0.484
34,0.828027,0.825069,0.845215,0.784062,0.494
35,0.828141,0.825825,0.845215,0.784062,0.5
36,0.829858,0.825829,0.845857,0.784062,0.505
37,0.830624,0.826597,0.845215,0.789203,0.511
38,0.830644,0.827631,0.8465,0.781491,0.516
39,0.831318,0.82877,0.845215,0.784062,0.518
40,0.831964,0.829811,0.845215,0.784062,0.52
41,0.832956,0.829474,0.8465,0.784062,0.523
42,0.833427,0.830915,0.845857,0.786632,0.525
43,0.833577,0.831128,0.845215,0.784062,0.527
44,0.834049,0.831722,0.844573,0.784062,0.529
45,0.834826,0.831938,0.844573,0.77635,0.532
46,0.835285,0.832955,0.847142,0.77892,0.534
47,0.836003,0.833626,0.845857,0.784062,0.536
48,0.836169,0.834135,0.845857,0.789203,0.539
49,0.836842,0.834496,0.8465,0.784062,0.543
50,0.837668,0.834697,0.8465,0.789203,0.545
51,0.838078,0.836078,0.847142,0.784062,0.55
52,0.83858,0.836589,0.848426,0.784062,0.552
53,0.839038,0.836777,0.845857,0.784062,0.555
54,0.839091,0.83696,0.847142,0.784062,0.557
55,0.839482,0.837565,0.848426,0.786632,0.559
56,0.840012,0.837946,0.847142,0.786632,0.561
57,0.840151,0.838763,0.845857,0.784062,0.563
58,0.840726,0.838896,0.847142,0.786632,0.565
59,0.84102,0.839245,0.847784,0.784062,0.568
60,0.84111,0.838995,0.847784,0.786632,0.57
61,0.841549,0.839855,0.847142,0.786632,0.572
62,0.841749,0.840264,0.847142,0.784062,0.574
63,0.842154,0.840549,0.847142,0.791774,0.577
64,0.842244,0.841117,0.847784,0.784062,0.582
65,0.842551,0.841195,0.847142,0.784062,0.584
66,0.842847,0.841262,0.847142,0.784062,0.586
67,0.843429,0.841667,0.847142,0.786632,0.588
68,0.843495,0.84231,0.847784,0.786632,0.59
69,0.843567,0.842626,0.849069,0.784062,0.593
70,0.844065,0.842564,0.847142,0.784062,0.595
71,0.844303,0.842609,0.848426,0.786632,0.597
72,0.844477,0.843264,0.849069,0.784062,0.6
73,0.844799,0.843375,0.849069,0.784062,0.602
74,0.844825,0.843536,0.848426,0.786632,0.604
75,0.845092,0.84378,0.849069,0.791774,0.607
76,0.845256,0.844141,0.849069,0.784062,0.611
77,0.845314,0.844321,0.850353,0.786632,0.614
78,0.845314,0.844226,0.850353,0.786632,0.617
79,0.845437,0.844616,0.849711,0.789203,0.619
80,0.845573,0.844369,0.849069,0.786632,0.621
81,0.845672,0.844482,0.848426,0.786632,0.624
82,0.845824,0.844862,0.849711,0.789203,0.626
83,0.845908,0.844615,0.849069,0.786632,0.628
84,0.845908,0.844875,0.849069,0.786632,0.63
85,0.84605,0.845067,0.850353,0.789203,0.633
86,0.846227,0.845376,0.848426,0.786632,0.635
87,0.846347,0.844913,0.848426,0.784062,0.638
88,0.846541,0.845454,0.849711,0.786632,0.64
89,0.846857,0.84562,0.848426,0.786632,0.643
90,0.846857,0.84562,0.848426,0.786632,0.645
91,0.84709,0.846032,0.850996,0.784062,0.648
92,0.847276,0.84631,0.850353,0.786632,0.65
93,0.847385,0.84639,0.851638,0.789203,0.653
94,0.847494,0.846437,0.849711,0.789203,0.656
95,0.847842,0.846401,0.850353,0.789203,0.659
96,0.847842,0.84683,0.850353,0.789203,0.662
97,0.848045,0.84672,0.849711,0.786632,0.664
98,0.848272,0.846883,0.850353,0.781491,0.667
99,0.848327,0.846883,0.850353,0.784062,0.669
100,0.848327,0.847218,0.850353,0.784062,0.671
101,0.848399,0.847076,0.851638,0.784062,0.674
102,0.84871,0.847129,0.850996,0.789203,0.676
103,0.84871,0.847109,0.850996,0.789203,0.679
104,0.84887,0.847544,0.851638,0.789203,0.681
105,0.84887,0.847012,0.851638,0.789203,0.684
106,0.849084,0.847705,0.850996,0.786632,0.686
107,0.849171,0.84798,0.852922,0.791774,0.689
108,0.849186,0.847862,0.853565,0.791774,0.695
109,0.849456,0.848384,0.85228,0.789203,0.702
110,0.849601,0.848167,0.851638,0.784062,0.705
111,0.849756,0.848342,0.851638,0.791774,0.708
112,0.849869,0.848637,0.851638,0.784062,0.714
113,0.850037,0.848893,0.853565,0.784062,0.717
114,0.850037,0.848782,0.853565,0.784062,0.72
115,0.850248,0.849086,0.850996,0.789203,0.723
116,0.85029,0.849293,0.85228,0.791774,0.725
117,0.850451,0.849053,0.85228,0.791774,0.731
118,0.850491,0.849235,0.856776,0.791774,0.736
119,0.850625,0.849595,0.85228,0.789203,0.742
120,0.850767,0.849602,0.853565,0.791774,0.745
121,0.850966,0.849794,0.854849,0.789203,0.749
122,0.851046,0.849699,0.853565,0.789203,0.752
123,0.851311,0.850013,0.852922,0.791774,0.755
124,0.851311,0.849874,0.852922,0.791774,0.759
125,0.851708,0.85014,0.856134,0.791774,0.763
126,0.851708,0.850663,0.856134,0.791774,0.767
127,0.851772,0.850635,0.856134,0.791774,0.772
128,0.851857,0.850572,0.855491,0.789203,0.776
129,0.85189,0.850851,0.854849,0.789203,0.779
130,0.852145,0.850862,0.854207,0.789203,0.782
131,0.852278,0.850701,0.853565,0.791774,0.784
132,0.85239,0.850781,0.852922,0.794344,0.79
133,0.85262,0.850761,0.854207,0.789203,0.795
134,0.852773,0.851329,0.854207,0.794344,0.798
135,0.852773,0.851671,0.854207,0.794344,0.802
136,0.85298,0.851696,0.856134,0.789203,0.807
137,0.853081,0.851665,0.855491,0.789203,0.81
138,0.853081,0.851785,0.855491,0.789203,0.812
139,0.853269,0.85153,0.856776,0.796915,0.814
140,0.853269,0.85189,0.856776,0.796915,0.819
141,0.853493,0.851754,0.855491,0.796915,0.824
142,0.853591,0.851798,0.85806,0.796915,0.829
143,0.85381,0.852112,0.856776,0.794344,0.834
144,0.853966,0.852305,0.857418,0.796915,0.836
145,0.854027,0.852274,0.857418,0.796915,0.84
